name,investment,area,industry,time,operationmode,mechanism,level,term,people,tele,schedule,overview,scope
安福县泸水河生态旅游片区基础设施建设项目,13.51亿元,江西省&gt;吉安市,旅游,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,建设城北文创民俗区、石溪湿地公园、农业观光体验绿道等；建设车田生态公园及车田村美丽乡村等；建设泸水河石溪至车田16公里的沿河两岸景观带；改造县城古护城河,
会昌县城区基础设施工程建设项目,4.24亿元,江西省&gt;赣州市,政府基础设施,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,新建道路8.5公里，改造道路3.78公里,
定南县2018-2020年度城区污水管网改造工程项目,4.44亿元,江西省&gt;赣州市,市政工程,政府发起,DBOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,铺设和改造污水管网约209.208公里,
德兴市返乡创业示范基地标准厂房及配套基础设施建设项目,8.08亿元,江西省&gt;上饶市,政府基础设施,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,主要建设标准厂房43万平方米及配套基础设施,
广昌县公路升级改造项目,5.37亿元,江西省&gt;抚州市,交通运输,政府发起,ROT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,116.3公里公路升级改造,
上犹县全域旅游项目,8.00亿元,江西省&gt;赣州市,旅游,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,提升改造老城区整体风貌，建设环湖森林小火车，打造上犹江“一江两岸”风景，建设陡水特色小镇，建设“乡村振兴”基础设施等,
赣州蓉江新区迳背田园综合体项目,5.78亿元,江西省&gt;赣州市,农业,政府发起,BOT,,2018年第一批传统基础设施领域省级示范推介,2018年05月07日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",,改造园艺田园景观、自然山林和田园景观、园路及广场；新建农业设施、主题建筑、生态停车场以及相关附属配套设施等,
南乐县水务一体化建设PPP项目,5.5136亿元,河南省&gt;濮阳市,市政工程&gt;供水,政府发起,BOT,可行性缺口补助,2018年清库结果,2018年04月04日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",识别阶段,南乐县水务一体化建设PPP项目属于市政工程行业，合作期限为15年，其中建设期2年，运营期13年。目前南乐县产业集聚区污水处理厂项目的可行性研究报告已经通过南乐县发展和改革委员会的审批，项目《环境影响评价报告》已通过南乐县环保局审批，南乐县国土资源局已出具《用地预审意见》，南乐县城乡规划局已出具《建设项目选址意见书》。南乐县第二水厂供水工程的可行性研究报告已通过濮阳市发展和改革委员会的审批，南乐县国土资源局已出具《用地预审意见》及《土地规划许可证》，南乐县城乡规划局已出具《建设项目选址意见书》，南乐县住房和城乡建设局已出具《建设工程许可证》。,
南乐县一站两中心建设PPP项目,11.2694亿元,河南省&gt;濮阳市,交通运输&gt;交通枢纽,政府发起,BOT,使用者付费,2018年清库结果,2018年04月04日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",准备阶段,南乐县一站两中心建设PPP项目，项目包中南乐县综合客运站属于交通运输行业，南乐县市民服务中心属于文化行业，南乐县群众教育培训中心属于教育行业。目前，这三个项目的《项目建议书》、《可行性研究报告》已通过南乐县发展和改革委员会审批，《环境影响评价报告表》、《项目选址意见书》、用地预审均已通过审批。南乐县物流集散中心项目前期手续正在办理中。,
濮阳县引黄入冀补淀工程沿线特色农业示范带配套基础设施建设项目,5.5792亿元,河南省&gt;濮阳市,旅游&gt;旅游配套设施,政府发起,BOT,可行性缺口补助,2018年清库结果,2018年04月04日,"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>","<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>",识别阶段,本项目为特色农业示范带濮阳县段上首批6个重点区域基础设施的建设，由北至南分别为“水漾年华”、“汤泉小镇”、“花木世界”、“户外乐园”、“黄河渔村”、“黄河湿地”。各区域沿引黄入冀补淀工程干渠呈点状分布，共同构成特色农业示范带濮阳县段的主要景观区。本项目总占地面积6977亩，总建筑面积214550㎡。项目总投资55792.13万元。,
