name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
贵州省黔南州罗甸港罗妥港区建设工程	8.8377亿元	贵州省	交通运输	待定	BOT	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		规划设计罗甸港罗妥港区项目拟建工程总规模年吞吐量1000万吨。拟建2个60车位滚装泊位，6个500吨级（兼顾1000吨级）多用途泊位，2个500吨级（兼顾1000吨级）散货泊位共10个泊位。	
													
贵州省贵安新区南客运枢纽站	6.00亿元	贵州省	交通运输	待定	BOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		占地5公顷。	
													
贵州省贵安新区高铁站综合枢纽项目	10.00亿元	贵州省	交通运输	待定	BOO	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		占地面积约1平方公里，包括高铁站站前广场，公共交通换乘枢纽。	
													
贵州省安顺市紫云县至黔西南州望谟县高速公路项目	102.08亿元	贵州省	交通运输	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		71公里。	
													
贵州省黔东南州三穗至施秉高速公路项目	51.00亿元	贵州省	交通运输	待定	BOT	特许经营+股权合作+财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		45公里。	
													
贵州省铜仁至怀化高速公路项目	41.00亿元	贵州省	交通运输	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		33公里。	
													
贵州省遵义市正安至习水高速公路	154.00亿元	贵州省	交通运输	待定	BOT	特许经营+股权合作+财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		128公里。	
													
贵州省遵义市仁怀市大沙坝水库供水配套工程	1.4906亿元	贵州省	市政工程	待定	BOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		主要建设内容为新建净水厂1座，规模为5万m3/d，其中生活用水2万m3/d、工业用水3万m3/d；安装输水管道30060米，其中生活用水管道22870米、工业用水管道7190米。	
													
贵州省毕节市黔西县污水处理厂二期工程	1.30亿元	贵州省	市政工程	待定	TOO	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		日处理2W吨	
													
贵州省遵义市习水县鰼部生态文化旅游园区供水工程	10.00亿元	贵州省	市政工程	待定	BOT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建水库5个，水厂6座，供水管网180公里。	
													
贵州省安顺市紫云县城供水二期工程	1.57亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新建3万吨/日水处理厂一座。	
													
贵州省安顺市关岭县顶云新城供水工程	0.53亿元	贵州省	市政工程	待定	ROT	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		关岭自治县顶云新城供水工程按2.0万吨/日供水规模进行建设，以满足2020年关岭自治县顶云新城及大龙滩片区的生活生产用水需求。2030年根据缺水总量，可在本工程水厂预留用地上扩建一组2.0万吨/日净水设施。	
													
贵州省贵安新区龙山污水处理厂	1.8266亿元	贵州省	市政工程	待定	TOT	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		近期规模2万吨/日，远期规模3.5万吨/日。	
													
贵州省铜仁市碧江区地源热泵系统建设项目	2.00亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		在铜仁市主城区建设地源热泵冷、热源系统，重点以水源热泵系统应用为主，项目一期拟在铜仁市锦江河两岸建设5个分布式冷热源能源站，满足辐射范围内居民建筑供暖、制冷需求，建筑应用面积达100万平米。	
													
贵州省贵安新区湖潮污水处理厂项目	3.3179亿元	贵州省	市政工程	待定	TOT	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		近期规模4万吨/日，远期规模12万吨/日。	
													
贵州省贵安新区轨道交通S1线项目	49.50亿元	贵州省	交通运输	待定	BOT+WA+O&amp;W	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		11公里。	
													
